"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Hippogriff","MM'25","169","Large","Monstrosity","unaligned","11","26 (4d10 + 4)","40 ft., Fly 60 ft.","17","13","13","2","12","8","","Perception +5","","","","","passive Perception 15","—","1 (XP 200; PB +2)","Flyby. The hippogriff doesn't provoke an Opportunity Attack when it flies out of an enemy's reach.","Multiattack. The hippogriff makes two Rend attacks.
Rend. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3) Slashing damage.","","","","","","","Grassland, Hill, Mountain",""
"Hippopotamus","MM'25","362","Large","Beast","unaligned","14","82 (11d10 + 22)","30 ft., Swim 30 ft.","21","7","15","2","12","4","Str +7","Perception +3","","","","","passive Perception 13","—","4 (XP 1,100; PB +2)","Hold Breath. The hippopotamus can hold its breath for 10 minutes.","Multiattack. The hippopotamus makes two Bite attacks.
Bite. Melee Attack Roll: +7, reach 5 ft. Hit: 16 (2d10 + 5) Piercing damage.","","","","","","","Forest, Grassland, Swamp",""
"Hoard Mimic","FTD","204","Huge","Monstrosity","neutral","14 (natural armor)","123 (13d12 + 39)","30 ft.","21","12","17","10","16","10","Con +6, Wis +6","Persuasion +3, Stealth +6","","","","prone","Darkvision 60 ft., passive Perception 13","Common, Draconic, telepathy 120 ft.","8 (XP 3,900; PB +3)","False Appearance (Hoard Form Only). If the mimic is motionless at the start of combat, it has advantage on its initiative roll. Moreover, if a creature hasn't observed the mimic move or act, that creature must succeed on a DC 18 Intelligence (Investigation) check to discern that the mimic is animate.","Multiattack. The mimic makes one Bite attack and two Pseudopod attacks.
Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one creature. Hit: 16 (2d10 + 5) piercing damage plus 7 (2d6) acid damage.
Pseudopod. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage, and the mimic adheres to the target. A creature adhered to the mimic is also grappled by it (escape DC 16). Until this grapple ends, the target is restrained. Ability checks made to escape this grapple have disadvantage.
Caustic Mist (Recharge 5–6). The mimic sprays a fine mist of acid in a 30-foot cone. Each creature in that area must make a DC 14 Dexterity saving throw. On a failed save, the creature takes 27 (6d8) acid damage and is blinded until the end of its next turn. On a successful save, the creature takes half as much damage and isn't blinded.
Shapechanger. The mimic transforms into a hoard or back into its true, amorphous form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.","","","","","","","",""
"Hoard Scarab","FTD","205","Tiny","Monstrosity","unaligned","14 (natural armor)","7 (3d4)","20 ft., Burrow 20 ft., Fly 20 ft.","4","16","11","3","8","6","","","","","","","Darkvision 60 ft., Tremorsense 60 ft., passive Perception 9","—","1/8 (XP 25; PB +2)","False Appearance. If the scarab is motionless at the start of combat, it has advantage on its initiative roll. Moreover, if a creature hasn't observed the scarab move or act, that creature must succeed on a DC 18 Intelligence (Investigation) check to discern that the scarab is animate.","Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage. If the target is a creature, it has disadvantage on attack rolls until the start of its next turn.","Scale Dust (1/Day). The scarab releases magical glittering dust from its wings. Each creature within 5 feet of the scarab must succeed on a DC 13 Dexterity saving throw or be outlined in blue light for 10 minutes. While outlined in this way, a creature sheds dim light in a 10-foot radius and can't benefit from being invisible. In addition, every Dragon within 1 mile of the creature becomes aware of it and can unerringly track the creature. Casting dispel magic on the creature ends the effect on it.","","","","","","",""
"Hobgoblin Captain","MM'25","171","Medium","Fey (Goblinoid)","lawful evil","17","58 (9d8 + 18)","30 ft.","15","14","14","12","10","13","","","","","","","Darkvision 60 ft., passive Perception 10","Common, Goblin","3 (XP 700; PB +2)","Aura of Authority. While in a 10-foot Emanation originating from the hobgoblin, the hobgoblin and its allies have Advantage on attack rolls and saving throws, provided the hobgoblin doesn't have the Incapacitated condition.","Multiattack. The hobgoblin makes two attacks, using Greatsword or Longbow in any combination.
Greatsword. Melee Attack Roll: +4, reach 5 ft. Hit: 9 (2d6 + 2) Slashing damage plus 3 (1d6) Poison damage.
Longbow. Ranged Attack Roll: +4, range 150/600 ft. Hit: 6 (1d8 + 2) Piercing damage plus 5 (2d4) Poison damage.","","","","","","","Desert, Forest, Grassland, Hill, Mountain, Planar (Acheron), Underdark","Individual, Armaments"
"Hobgoblin Devastator","MPMM","153","Medium","Fey (Goblinoid)","lawful neutral","13 (studded leather)","45 (7d8 + 14)","30 ft.","13","12","14","16","13","11","","Arcana +5","","","","","Darkvision 60 ft., passive Perception 11","Common, Goblin","4 (XP 1,100; PB +2)","Army Arcana. When the hobgoblin casts a spell that causes damage or that forces other creatures to make a saving throw, it can choose itself and any number of allies to be immune to the damage caused by the spell and to succeed on the required saving throw.","Multiattack. The hobgoblin makes two Quarterstaff or Devastating Bolt attacks.
Quarterstaff. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage, or 5 (1d8 + 1) bludgeoning damage if used with two hands, plus 13 (3d8) force damage.
Devastating Bolt. Ranged Spell Attack: +5 to hit, range 60 ft., one target. Hit: 21 (4d8 + 3) force damage, and the target is knocked prone.
Spellcasting. The hobgoblin casts one of the following spells, using Intelligence as the spellcasting ability (spell save DC 13):At will: mage hand, prestidigitation2/day each: fireball, fly, fog cloud, gust of wind, lightning bolt","","","","","","","Forest, Grassland, Hill",""
"Hobgoblin Iron Shadow","MPMM","154","Medium","Fey (Goblinoid)","lawful neutral","15 (Unarmored Defense)","32 (5d8 + 10)","40 ft.","14","16","15","14","15","11","","Acrobatics +5, Athletics +4, Stealth +5","","","","","Darkvision 60 ft., passive Perception 12","Common, Goblin","2 (XP 450; PB +2)","Unarmored Defense. While the hobgoblin is wearing no armor and wielding no shield, its AC includes its Wisdom modifier.","Multiattack. The hobgoblin makes four attacks, each of which can be an Unarmed Strike or a Dart attack. It can also useShadow Jaunt once, either before or after one of the attacks.
Unarmed Strike. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) bludgeoning damage.
Dart. Ranged Weapon Attack: +5 to hit, range 20/60 ft., one target. Hit: 5 (1d4 + 3) piercing damage.
Shadow Jaunt. The hobgoblin teleports, along with any equipment it is wearing or carrying, up to 30 feet to an unoccupied space it can see. Both the space it leaves and its destination must be in dim light or darkness.
Spellcasting. The hobgoblin casts one of the following spells, using Intelligence as the spellcasting ability (spell save DC 12):At will: minor illusion, prestidigitation1/day each: charm person, disguise self, silent image","","","","","","","Forest, Grassland, Hill",""
"Hobgoblin Warlord","MM'25","171","Medium","Fey (Goblinoid)","lawful evil","20","112 (15d8 + 45)","30 ft.","17","14","16","14","11","15","Dex +5, Int +5, Wis +3, Cha +5","","","","","","Darkvision 60 ft., passive Perception 10","Common, Goblin","6 (XP 2,300; PB +3)","Aura of Authority. While in a 30-foot Emanation originating from the hobgoblin, the hobgoblin and its allies have Advantage on attack rolls and saving throws, provided the hobgoblin doesn't have the Incapacitated condition.","Multiattack. The hobgoblin makes three attacks, using Javelin or Longsword in any combination.
Javelin. Melee or Ranged Attack Roll: +6, reach 5 ft. or range 30/120 ft. Hit: 11 (2d6 + 4) Piercing damage, and the target's Speed decreases by 10 feet until the start of the hobgoblin's next turn.
Longsword. Melee Attack Roll: +6, reach 5 ft. Hit: 12 (2d8 + 3) Slashing damage.","","Parry. Trigger: The hobgoblin is hit by a melee attack roll while holding a weapon. Response: The hobgoblin adds 3 to its AC against that attack, possibly causing it to miss.","","","","","Desert, Forest, Grassland, Hill, Mountain, Planar (Acheron), Underdark","Individual, Armaments"
"Hobgoblin Warrior","MM'25","170","Medium","Fey (Goblinoid)","lawful evil","18","11 (2d8 + 2)","30 ft.","13","12","12","10","10","9","","","","","","","Darkvision 60 ft., passive Perception 10","Common, Goblin","1/2 (XP 100; PB +2)","Pack Tactics. The hobgoblin has Advantage on an attack roll against a creature if at least one of the hobgoblin's allies is within 5 feet of the creature and the ally doesn't have the Incapacitated condition.","Longsword. Melee Attack Roll: +3, reach 5 ft. Hit: 12 (2d10 + 1) Slashing damage.
Longbow. Ranged Attack Roll: +3, range 150/600 ft. Hit: 5 (1d8 + 1) Piercing damage plus 7 (3d4) Poison damage.","","","","","","","Desert, Forest, Grassland, Hill, Mountain, Planar (Acheron), Underdark","Individual, Armaments"
"Hollow Dragon","FTD","206","Huge","Undead","any alignment","19 (natural armor)","241 (21d12 + 105)","40 ft., Fly 80 ft.","23","12","21","16","13","21","Con +11, Int +9, Wis +7, Cha +11","Arcana +9, History +15, Perception +13","","necrotic","poison, radiant","charmed, deafened, exhaustion, frightened, paralyzed, poisoned","Blindsight 60 ft., Darkvision 120 ft., passive Perception 23","Common, Draconic","18 (XP 20,000; PB +6)","Legendary Resistance (3/Day). If the hollow dragon fails a saving throw, it can choose to succeed instead.
Reconstruction. When the hollow dragon is reduced to 0 hit points, its body breaks into nine pieces: two arms, two legs, two wings, a tail, a torso, and a head. Each piece is a Large object with AC 19, 27 hit points, and immunity to psychic and poison damage. After 1d6 days, if all pieces are still within 6 miles of each other, they all teleport to the location of the head piece and merge with it, whereupon the hollow dragon regains all its hit points and becomes active again.","Multiattack. The hollow dragon makes one Bite attack and two Claw attacks, and it can use Sapping Presence.
Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 9 (2d8) radiant damage.
Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.
Sapping Presence. Each creature of the hollow dragon's choice within 60 feet of it must make a DC 19 Wisdom saving throw. On a failed save, the creature's speed is halved and it has disadvantage on attack rolls until the end of its next turn. On a successful save, the creature is immune to this hollow dragon's Sapping Presence for 24 hours.
Radiant Breath (Recharge 5–6). The hollow dragon exhales radiant flames in a 60-foot cone. Each creature in that area must make a DC 19 Dexterity saving throw, taking 54 (12d8) radiant damage on a failed save, or half as much damage on a successful one.","","","Claw. The hollow dragon makes one Claw attack.
Ghostly Binding (Costs 2 Actions). The hollow dragon creates ethereal bindings around a creature it can see within 60 feet of it. The target must succeed on a DC 19 Strength saving throw or be restrained until the end of the dragon's next turn.
Booming Scales (Costs 3 Actions). A sudden loud ringing noise, painfully intense, erupts from the hollow dragon's frame. Each creature within 10 feet of the hollow dragon must make a DC 19 Constitution saving throw, taking 24 (7d6) thunder damage on a failed save, or half as much damage on a successful one.","","","","",""
"Homunculus","MM'25","172","Tiny","Construct","neutral","13","4 (1d4 + 2)","20 ft., Fly 40 ft.","4","15","14","10","10","7","Wis +2, Cha +0","","","","poison","charmed, poisoned","Darkvision 60 ft., passive Perception 10","Understands Common plus one other language but can't speak","0 (XP 10; PB +2)","Telepathic Bond. While the homunculus is on the same plane of existence as its master, the two of them can communicate telepathically with each other.","Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 1 Piercing damage, and the target is subjected to the following effect. Constitution Saving Throw: DC 12. Failure: The target has the Poisoned condition until the end of the homunculus's next turn. Failure by 5 or More: The target has the Poisoned condition for 1 minute. While Poisoned, the target has the Unconscious condition, which ends early if the target takes any damage.","","","","","","","Any",""
"Homunculus Servant","TCE","22","Tiny","Construct","","13 (natural armor)","1 + your Intelligence modifier + your artificer level (the homunculus has a number of Hit Dice [d4s] equal to your artificer level)","20 ft., Fly 30 ft.","4","15","12","10","10","7","Dex +2 plus PB","Perception +0 plus PB × 2, Stealth +2 plus PB","","","poison","exhaustion, poisoned","Darkvision 60 ft., passive Perception 10 + (PB × 2)","Understands the languages you speak","None (XP 0; PB equals your bonus)","Evasion. If the homunculus is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, it instead takes no damage if it succeeds on the saving throw, and only half damage if it fails. It can't use this trait if it's incapacitated.","Force Strike. Ranged Weapon Attack: your spell attack modifier to hit, range 30 ft., one target you can see. Hit: 1d4 + PB force damage.","","Channel Magic. The homunculus delivers a spell you cast that has a range of touch. The homunculus must be within 120 feet of you.","","","","","",""
"Hook Horror","MM'25","173","Large","Monstrosity","neutral","15","75 (10d10 + 20)","30 ft., Climb 30 ft.","18","10","15","6","12","7","Con +4","Perception +5","","","","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 15","Hook Horror","3 (XP 700; PB +2)","","Multiattack. The hook horror makes two Hook attacks.
Hook. Melee Attack Roll: +6, reach 10 ft. Hit: 11 (2d6 + 4) Piercing damage. If the target is a Large or smaller creature, the hook horror moves the target 5 feet straight toward or away from itself.","","","","","","","Underdark",""
"Horned Devil","MM'25","174","Large","Fiend (Devil)","lawful evil","18","199 (19d10 + 95)","30 ft., Fly 60 ft.","22","17","21","12","16","18","Str +10, Dex +7, Wis +7, Cha +8","","","","fire, poison","poisoned","Darkvision 150 ft. (unimpeded by magical Darkness), passive Perception 13","Infernal; telepathy 120 ft.","11 (XP 7,200; PB +4)","Diabolical Restoration. If the devil dies outside the Nine Hells, its body disappears in sulfurous smoke, and it gains a new body instantly, reviving with all its Hit Points somewhere in the Nine Hells.
Magic Resistance. The devil has Advantage on saving throws against spells and other magical effects.","Multiattack. The devil makes three attacks, using Searing Fork or Hurl Flame in any combination. It can replace one attack with a use of Infernal Tail.
Searing Fork. Melee Attack Roll: +10, reach 10 ft. Hit: 15 (2d8 + 6) Piercing damage plus 9 (2d8) Fire damage.
Hurl Flame. Ranged Attack Roll: +8, range 150 ft. Hit: 26 (5d8 + 4) Fire damage. If the target is a flammable object that isn't being worn or carried, it starts burning.
Infernal Tail. Dexterity Saving Throw: DC 17, one creature the devil can see within 10 feet. Failure: 10 (1d8 + 6) Necrotic damage, and the target receives an infernal wound if it doesn't have one. While wounded, the target loses 10 (3d6) Hit Points at the start of each of its turns. The wound closes after 1 minute, after a spell restores Hit Points to the target, or after the target or a creature within 5 feet of it takes an action to stanch the wound, doing so by succeeding on a DC 17 Wisdom (Medicine) check.","","","","","","","Planar (Nine Hells)","Relics"
"Hound of Ill Omen","XGE","50","Medium","Monstrosity","unaligned","14 (natural armor)","37 (5d10 + 10)","50 ft.","17","15","15","3","12","7","","Perception +3, Stealth +4","","","","","passive Perception 13","—","1 (XP 200; PB +2)","Cloak of Shadows. The hound appears with a number of temporary hit points equal to half your sorcerer level.
Ever at Your Heels. On its turn, it can move only toward its target by the most direct route, and it can use its action only to attack its target. The hound can make opportunity attacks, but only against its target. Additionally, while the hound is within 5 feet of the target, the target has disadvantage on saving throws against any spell you cast. The hound disappears if it is reduced to 0 hit points, if its target is reduced to 0 hit points, or after 5 minutes.
Incorporeal Movement. The hound can move through other creatures and objects as if they were difficult terrain. The hound takes 5 force damage if it ends its turn inside an object.
Keen Hearing and Smell. The hound has advantage on Wisdom (Perception) checks that rely on hearing or smell.
Omen Sight. At the start of its turn, the hound automatically knows its target's location. If the target was hidden, it is no longer hidden from the hound.
Pack Tactics. The hound has advantage on an attack roll against a creature if at least one of the hound's allies is within 5 feet of the creature and the ally isn't incapacitated.","Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.","","","","","","","",""
"Howler","MPMM","155","Large","Fiend","chaotic evil","16 (natural armor)","90 (12d10 + 24)","40 ft.","17","16","15","5","14","6","","Perception +5","","cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","","frightened","Darkvision 60 ft., passive Perception 15","Understands Abyssal but can't speak","8 (XP 3,900; PB +3)","Pack Tactics. A howler has advantage on attack rolls against a creature if at least one of the howler's allies is within 5 feet of the creature and the ally isn't incapacitated.","Multiattack. The howler makes two Rending Bite attacks.
Rending Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage, plus 22 (4d10) psychic damage if the target is frightened. This attack ignores damage resistance.
Mind-Breaking Howl (Recharge 4–6). The howler emits a keening howl in a 60-foot cone. Each creature in that area must succeed on a DC 13 Wisdom saving throw or take 16 (3d10) psychic damage and be frightened until the end of the howler's next turn. While a creature is frightened in this way, its speed is halved, and it is incapacitated. A target that successfully saves is immune to the Mind-Breaking Howl of all howlers for the next 24 hours.","","","","","","","Desert, Grassland, Hill, Underdark",""
"Hulgaz","BMT","169","Large","Fiend (Devil)","lawful evil","17 (natural armor)","190 (20d10 + 80)","30 ft., Fly 30 ft. (hover)","17","10","18","14","15","20","Wis +7, Cha +10","Deception +10, Insight +7, Perception +7, Persuasion +10","","acid, cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","fire, poison","charmed, poisoned","Truesight 120 ft., passive Perception 17","Abyssal, Common, telepathy 120 ft.","14 (XP 11,500; PB +5)","Legendary Resistance (3/Day). If Hulgaz fails a saving throw, she can choose to succeed instead.
Magic Resistance. Hulgaz has advantage on saving throws against spells and other magical effects.","Multiattack. Hulgaz makes two Claw attacks and one Intoxicating Sting attack.
Claw. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 12 (2d8 + 3) slashing damage.
Intoxicating Sting. Melee Weapon Attack: +8 to hit, reach 10 ft., one creature. Hit: 8 (1d10 + 3) piercing damage plus 10 (3d6) poison damage, and the target must succeed on a DC 17 Wisdom saving throw or have the charmed condition until the start of Hulgaz's next turn.
Brimstone Vapor (Recharge 5–6). Hulgaz exhales a 30-foot cone of noxious, scorching-hot vapor. Each creature in that area must succeed on a DC 17 Constitution saving throw or have the poisoned condition for 1 minute. While poisoned in this way, a creature takes 31 (7d8) fire damage at the start of each of its turns and has disadvantage on Wisdom saving throws. A target can repeat the Constitution saving throw at the end of each of its turns, ending the effect on itself on a success.
Spellcasting. Hulgaz casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 18):At will: Charm Person2/day each: Dispel Magic, Fog Cloud1/day: Teleport","","","Attack. Hulgaz makes one Claw attack.
Charm. Hulgaz uses Spellcasting to cast Charm Person.
Curdle Heart (Costs 2 Actions). Hulgaz sours the good feelings of her charmed victims. She chooses any number of creatures she can see who are charmed by her. Each target takes 17 (5d6) psychic damage as the charmed condition applied by Hulgaz ends on it.","","","","",""
"Hungry Sorrowsworn","MPMM","223","Medium","Monstrosity","neutral evil","17 (natural armor)","225 (30d8 + 90)","30 ft.","19","10","17","6","11","6","","","","bludgeoning, piercing, and slashing while in dim light or darkness","","","Darkvision 60 ft., passive Perception 10","Common","11 (XP 7,200; PB +4)","Life Hunger. If a creature within 60 feet of the sorrowsworn regains hit points, the sorrowsworn gains two benefits until the end of its next turn: it has advantage on attack rolls, and its Bite deals an extra 22 (4d10) necrotic damage on a hit.","Multiattack. The sorrowsworn makes one Bite attack and one Claw attack.
Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage plus 13 (3d8) necrotic damage.
Claw. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 18 (4d6 + 4) slashing damage. If the target is Medium or smaller, it is grappled (escape DC 16), and it is restrained until the grapple ends. While grappling a creature, the sorrowsworn can't make a Claw attack.","","","","","","","Forest, Underdark, Urban",""
"Hunter Shark","MM'25","363","Large","Beast","unaligned","12","45 (6d10 + 12)","5 ft., Swim 40 ft.","18","14","15","1","10","4","","Perception +2","","","","","Blindsight 60 ft., passive Perception 12","—","2 (XP 450; PB +2)","Water Breathing. The shark can breathe only underwater.","Bite. Melee Attack Roll: +6 (with Advantage if the target doesn't have all its Hit Points), reach 5 ft. Hit: 14 (3d6 + 4) Piercing damage.","","","","","","","Underwater",""
"Hutijin","MPMM","157","Large","Fiend (Devil)","lawful evil","19 (natural armor)","200 (16d10 + 112)","30 ft., Fly 60 ft.","27","15","25","23","19","25","Dex +9, Con +14, Wis +11","Intimidation +14, Perception +11","","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","fire, poison","charmed, exhaustion, frightened, poisoned","Truesight 120 ft., passive Perception 21","All, telepathy 120 ft.","21 (XP 33,000; PB +7)","Infernal Despair. Each creature within 30 feet of Hutijin that isn't a devil makes saving throws with disadvantage.
Legendary Resistance (3/Day). If Hutijin fails a saving throw, he can choose to succeed instead.
Magic Resistance. Hutijin has advantage on saving throws against spells and other magical effects.
Regeneration. Hutijin regains 20 hit points at the start of his turn. If he takes radiant damage, this trait doesn't function at the start of his next turn. Hutijin dies only if he starts his turn with 0 hit points and doesn't regenerate.","Multiattack. Hutijin makes one Bite attack, one Claw attack, one Mace attack, and one Tail attack.
Bite. Melee Weapon Attack: +15 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) fire damage. The target must succeed on a DC 22 Constitution saving throw or become poisoned. While poisoned in this way, the target can't regain hit points, and it takes 10 (3d6) poison damage at the start of each of its turns. The poisoned target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.
Claw. Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 17 (2d8 + 8) cold damage.
Mace. Melee Weapon Attack: +15 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) force damage.
Spellcasting. Hutijin casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 22):At will: alter self (can become Medium when changing his appearance), detect magic, hold monster, invisibility (self only), lightning bolt, suggestion, wall of fire3/day: dispel magic
Tail. Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) thunder damage.
Teleport. Hutijin teleports, along with any equipment he is wearing and carrying, up to 120 feet to an unoccupied space he can see.","","Fearful Voice (Recharge 5–6). In response to taking damage, Hutijin utters a dreadful word of power. Each creature within 30 feet of him that isn't a devil must succeed on a DC 22 Wisdom saving throw or become frightened of him for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. A creature that saves against this effect is immune to his Fearful Voice for 24 hours.","Attack. Hutijin makes one Claw, Mace, or Tail attack.
Teleport. Hutijin uses Teleport.
Lightning Storm (Costs 2 Actions). Hutijin releases lightning in a 30-foot radius, blocked only by total cover. All other creatures in that area must each make a DC 22 Dexterity saving throw, taking 18 (4d8) lightning damage on a failed save, or half as much damage on a successful one.","","","","",""
"Hydra","MM'25","175","Huge","Monstrosity","unaligned","15","184 (16d12 + 80)","40 ft., Swim 40 ft.","20","12","20","2","10","7","","Perception +6","","","","blinded, charmed, deafened, frightened, stunned, unconscious","Darkvision 60 ft., passive Perception 16","—","8 (XP 3,900; PB +3)","Hold Breath. The hydra can hold its breath for 1 hour.
Multiple Heads. The hydra has five heads. Whenever the hydra takes 25 damage or more on a single turn, one of its heads dies. The hydra dies if all its heads are dead. At the end of each of its turns when it has at least one living head, the hydra grows two heads for each of its heads that died since its last turn, unless it has taken Fire damage since its last turn. The hydra regains 20 Hit Points when it grows new heads.
Reactive Heads. For each head the hydra has beyond one, it gets an extra Reaction that can be used only for Opportunity Attacks.","Multiattack. The hydra makes as many Bite attacks as it has heads.
Bite. Melee Attack Roll: +8, reach 10 ft. Hit: 10 (1d10 + 5) Piercing damage.","","","","","","","Coastal, Swamp","Any"
"Hydroloth","MPMM","158","Medium","Fiend (Yugoloth)","neutral evil","15","135 (18d8 + 54)","20 ft., Swim 40 ft.","12","21","16","19","10","14","","Insight +4, Perception +4","fire","cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","acid, poison","poisoned","Blindsight 60 ft., Darkvision 60 ft., passive Perception 14","Abyssal, Infernal, telepathy 60 ft.","9 (XP 5,000; PB +4)","Amphibious. The hydroloth can breathe air and water.
Magic Resistance. The hydroloth has advantage on saving throws against spells and other magical effects.
Secure Memory. The hydroloth is immune to the waters of the River Styx, as well as any effect that would steal or modify its memories or detect or read its thoughts.
Watery Advantage. While submerged in liquid, the hydroloth has advantage on attack rolls.","Multiattack. The hydroloth makes two Bite or Claw attacks. It can replace one attack with a use of Spellcasting.
Bite. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 16 (2d10 + 5) force damage plus 9 (2d10) psychic damage.
Claw. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) force damage plus 9 (2d10) psychic damage.
Spellcasting. The hydroloth casts one of the following spells, requiring no material components and using Intelligence as the spellcasting ability (spell save DC 16):At will: darkness, detect magic, dispel magic, invisibility (self only)3/day each: control water, crown of madness, fear, suggestion
Steal Memory (1/Day). The hydroloth targets one creature it can see within 60 feet of it. The target takes 14 (4d6) psychic damage, and it must make a DC 16 Intelligence saving throw. On a successful save, the target becomes immune to this hydroloth's Steal Memory for 24 hours. On a failed save, the target loses all proficiencies; it can't cast spells; it can't understand language; and if its Intelligence and Charisma scores are higher than 5, they become 5. Each time the target finishes a long rest, it can repeat the saving throw, ending the effect on itself on a success. A greater restoration or remove curse spell cast on the target ends this effect early.
Teleport. The hydroloth teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.","","","","","","","",""
"Hyena","MM'25","363","Medium","Beast","unaligned","11","5 (1d8 + 1)","50 ft.","11","13","12","2","12","5","","Perception +3","","","","","Darkvision 60 ft., passive Perception 13","—","0 (XP 10; PB +2)","Pack Tactics. The hyena has Advantage on an attack roll against a creature if at least one of the hyena's allies is within 5 feet of the creature and the ally doesn't have the Incapacitated condition.","Bite. Melee Attack Roll: +2, reach 5 ft. Hit: 3 (1d6) Piercing damage.","","","","","","","Desert, Forest, Grassland, Hill",""
"Ice Devil","MM'25","176","Large","Fiend (Devil)","lawful evil","18","228 (24d10 + 96)","40 ft.","21","14","18","18","15","18","Dex +7, Con +9, Wis +7, Cha +9","Insight +7, Perception +7, Persuasion +9","","","cold, fire, poison","poisoned","Blindsight 120 ft., passive Perception 17","Infernal; telepathy 120 ft.","14 (XP 11,500; PB +5)","Diabolical Restoration. If the devil dies outside the Nine Hells, its body disappears in sulfurous smoke, and it gains a new body instantly, reviving with all its Hit Points somewhere in the Nine Hells.
Magic Resistance. The devil has Advantage on saving throws against spells and other magical effects.","Multiattack. The devil makes three Ice Spear attacks. It can replace one attack with a Tail attack.
Ice Spear. Melee or Ranged Attack Roll: +10, reach 5 ft. or range 30/120 ft. Hit: 14 (2d8 + 5) Piercing damage plus 10 (3d6) Cold damage. Until the end of its next turn, the target can't take a Bonus Action or Reaction, its Speed decreases by 10 feet, and it can move or take one action on its turn, not both. Hit or Miss: The spear magically returns to the devil's hand immediately after a ranged attack.
Ice Wall (Recharge 6). The devil casts Wall of Ice (level 8 version), requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 17).
Tail. Melee Attack Roll: +10, reach 10 ft. Hit: 15 (3d6 + 5) Bludgeoning damage plus 18 (4d8) Cold damage.","","","","","","","Planar (Nine Hells)","Arcana"
"Ice Mephit","MM'25","206","Small","Elemental","neutral evil","11","21 (6d6)","30 ft., Fly 30 ft.","7","13","10","9","11","12","","Perception +2, Stealth +3","fire","","cold, poison","exhaustion, poisoned","Darkvision 60 ft., passive Perception 12","Primordial (Aquan, Auran)","1/2 (XP 100; PB +2)","Death Burst. The mephit explodes when it dies. Constitution Saving Throw: DC 10, each creature in a 5-foot Emanation originating from the mephit. Failure: 5 (2d4) Cold damage. Success: Half damage.","Claw. Melee Attack Roll: +3, reach 5 ft. Hit: 3 (1d4 + 1) Slashing damage plus 2 (1d4) Cold damage.
Fog Cloud (1/Day). The mephit casts Fog Cloud, requiring no spell components and using Charisma as the spellcasting ability.
Frost Breath (Recharge 6). Constitution Saving Throw: DC 10, each creature in a 15-foot Cone. Failure: 7 (3d4) Cold damage. Success: Half damage.","","","","","","","Planar (Elemental Planes)",""
