,Unnamed: 0,Name,Size,Type,Alignment,Habitat,Main Habitat,Other Habitat,Treasure,AC,HP,Initiative,Walk,Burrow,Climb,Fly,Hover,Swim,STR Mod,INT Mod,DEX Mod,WIS Mod,CON Mod,CHA Mod,STR Save,INT Save,DEX Save,WIS Save,CON Save,CHA Save,Proficient,Expertise,Vulnerabilities,Slashing,Immunities Conditions,Immunities Damage,Blindsight,Darkvision,Truesight,Tremorsense,Passive Perception,Languages,CR,XP.,PB,Traits,# of Legendary Resistance,# of Atk,Atk 1 Type,Atk 1 Mod,Atk 1 Range,Atk 1 Range Short,Atk 1 Dam.,Atk 1 Damage Type,Atk 2 Type,Atk 2 Mod,Atk 2 Range,Atk 2 Range short,Atk 2 Dam.,Atk 2 Damage Type,Atk 3 Type,Atk 3 Mod,Atk 3 Range,Atk 3 Range short,Atk 3 Dam.,Atk 3 Damage Type,Atk 4 Type,Atk 4 Mod,Atk 4 Range,Atk 4 Range short,Atk 4 Dam.,Atk 4 Damage Type,Save DC,Saving Throw,Action Notes,Ability,Spell Save DC,Spell Saving Throws,Spell Attack,At Will,3.0/Day,2.0/Day,1.0/Day,Bonus Action,Reaction,Amount,Legendary Action Save DC,Legendary Action Saving Throw,Legendary Actions.,Lair,xp,Legendary Resistance,Legendary Actions,Lair Save DC,Lair Saving Throws,Other
102,102,Constrictor Snake,Large,Beast,Unaligned,"Desert, Forest, Swamp, Underwater","Desert, Forest, Swamp, Underwater",,,13.0,13.0,2.0,30.0,,,,,30.0,2.0,-5.0,2.0,0.0,1.0,-4.0,2.0,-5.0,2.0,0.0,1.0,-4.0,"Perception, Stealth",,,,,,10,,,,12.0,,45661,50.0,2.0,,,1.0,Melee,4.0,5.0,=,6.0,Piercing,,,,=,,,,,,=,,,,,,=,,,12.0,Strength,Strength save 7 damage and grappled,,,,,,,,,,,,,,,,,,,,,
103,103,Copper Dragon Wyrmling,Medium,Dragon (Metallic),Chaotic Good,Hill,Hill,,Arcana,16.0,22.0,3.0,30.0,,30.0,60.0,,,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,Stealth,Perception,,,,Acid,10,60.0,,,14.0,Draconic,1.00000/1,200.0,2.0,,,1.0,Melee,4.0,5.0,=,7.0,Slashing,,,,=,,,,,,=,,,,,,=,,,11.0,"Dexterity, Constitution","Acid Breath recharges on 5-6 20ft 5ft wide line 18 acid damage, Slowing Breath 15ft coone target's speed is halved and can't take reactions, and either an action or bonus action",,,,,,,,,,,,,,,,,,,,,
104,104,Couatl,Medium,Celestial,Lawful Good,"Desert, Forest, Grassland, Urban","Desert, Forest, Grassland, Urban",,Relics,19.0,60.0,5.0,30.0,,,90.0,,,3.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,7.0,5.0,4.0,,,,"Bludgeoning, Piercing, Slashing",,"Psychic, Radiant",,,120.0,,15.0,"All, Telepathy",4.00000/1,1100.0,2.0,Shielded Mind,,1.0,Melee,7.0,5.0,=,11.0,Piercing,,,,=,,,,,,=,,,,,,=,,,15.0,Strength,"Akt 1 makes the target poisoned, Constrict 5 bludgeoning damage grappled and restrained",Wisdom,15.0,Wisdom,7.0,"Detect Evil and Good, Detect Magic, Detect Thoughts, Shapechange",,"Bless, Lesser Restoration, Sanctuary","Create Food and Water, Dream, Greater Restoration, Scrying, Sleep","Cast Bless, Lesser Restoration, or Sanctuary",,,,,,,,,,,,
105,105,Crab,Tiny,Beast,Unaligned,"Coastal, Underwater","Coastal, Underwater",,,11.0,3.0,0.0,20.0,,,,,20.0,-2.0,-5.0,0.0,-1.0,1.0,-4.0,-2.0,-5.0,0.0,-1.0,1.0,-4.0,Stealth,,,,,,30,,,,9.0,,0.00000/1,10.0,2.0,Amphibious,,1.0,Melee,2.0,5.0,=,1.0,Bludgeoning,,,,=,,,,,,=,,,,,,=,,,,,,,,,,,,,,,,,,,,,,,,,,
106,106,Crawling Claw,Tiny,Undead,Neutral Evil,Any,Any,,,15.0,20.0,2.0,20.0,,20.0,,,,1.0,-3.0,2.0,0.0,0.0,-3.0,1.0,-3.0,2.0,0.0,0.0,-3.0,,,,,"Charmed, Exhaustion, Frightened, Incapacitated, Poisoned","Necrotic, Poison",30,,,,10.0,Understands Common,0.00000/1,10.0,2.0,,,1.0,Melee,3.0,5.0,=,2.0,Necrotic,,,,=,,,,,,=,,,,,,=,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,Crocodile,Large,Beast,Unaligned,"Coastal, Swamp, Urban","Coastal, Swamp, Urban",,,12.0,13.0,0.0,20.0,,,,,30.0,2.0,-4.0,0.0,0.0,1.0,-3.0,2.0,-4.0,0.0,0.0,3.0,-3.0,Stealth,,,,,,,,,,10.0,,45659,100.0,2.0,Hold Breath,,1.0,Melee,4.0,5.0,=,6.0,Piercing,,,,=,,,,,,=,,,,,,=,,,,,Garbled on hit,,,,,,,,,,,,,,,,,,,,,
108,108,Cultist,Medium or Small,Humanoid (Cultist),Neutral,Any,Any,," Individual, Relics",12.0,9.0,1.0,30.0,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,"Deception, Religion",,,,,,,,,,10.0,Common,45665,25.0,2.0,,,1.0,Melee,3.0,5.0,=,4.0,"Slashing, Necrotic",,,,=,,,,,,=,,,,,,=,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109,Cultist Fanatic,Medium or Small,Humanoid (Cultist),Neutral,Any,Any,," Individual, Relics",13.0,44.0,2.0,30.0,,,,,,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,1.0,"Deception, Persuasion, Religion",,,,,,,,,,12.0,Common,2.00000/1,450.0,2.0,,,1.0,Melee,4.0,5.0,=,13.0,"Slashing, Necrotic",,,,=,,,,,,=,,,,,,=,,,,,,Wisdom,12.0,Wisdom,4.0,"Light, Thaumaturgy",,"Command, Spiritual Weapon",Hold Person,Spiritual Weapon cast spiritual weapon,,,,,,,,,,,,
110,110,Cultist Hierophant,Medium or Small,Humanoid (Cultist),Neutral,Any,Any,," Individual, Relics",16.0,144.0,8.0,30.0,,,,,,2.0,1.0,4.0,3.0,4.0,5.0,2.0,1.0,4.0,7.0,4.0,9.0,"Perception, Persuasion, Religion",,,,,,,,,,17.0,"Celestial, Common",10.00000/1,5900.0,4.0,,,3.0,Melee,9.0,5.0,=,30.0,"Slashing, Radiant",Ranged,9.0,120.0,120,31.0,Radiant,,,,=,,,,,,=,,,,,,Charisma,17.0,"Constitution, Wisdom",9.0,"Mage Armor, Thaumaturgy",,,"Jallarzi's Storm of Radiance (Level 7), Mass Suggestion",,,,,,,,,,,,,
111,111,Cyclops Oracle,Huge,Giant,Chaotic Neutral,"Coastal, Desert, Grassland, Hill, Mountain, Underdark","Coastal, Desert, Grassland, Hill, Mountain, Underdark",,Armaments,16.0,207.0,8.0,40.0,,,,,,6.0,3.0,0.0,4.0,5.0,0.0,6.0,3.0,0.0,8.0,9.0,0.0,,"History, Perception",,,,,,,30.0,,22.0,Giant,10.00000/1,5900.0,4.0,,,3.0,Melee,10.0,10.0,=,22.0,Radiant,Ranged,10.0,120.0,120,17.0,Radiant,,,,=,,,,,,=,,,,,Atk 2 on hit target has disadvantage,Wisdom,16.0,,8.0,,,"Arcane Eye, Detect Magic, Locate Object",Legend Lore,,Portent recharges on 4-6 on a d20 test cyclops rolls a d20 and choses which roll to use,,,,,,,,,,,
112,112,Cyclops Sentry,Huge,Giant,Chaotic Neutral,"Coastal, Desert, Grassland, Hill, Mountain, Underdark","Coastal, Desert, Grassland, Hill, Mountain, Underdark",,Armaments,14.0,138.0,0.0,40.0,,,,,,6.0,-1.0,0.0,-2.0,5.0,0.0,6.0,-1.0,0.0,-2.0,5.0,0.0,,,,,,,,,,,8.0,Giant,6.00000/1,2300.0,3.0,,,2.0,Melee,9.0,10.0,=,16.0,Bludgeoning,Ranged,9.0,30.0,30,22.0,Bludgeoning,,,,=,,,,,,=,,,,,Atk 1 on hit prone,,,,,,,,,,Limited Foresight recharges on 6 when someone makes an attack roll imposes disadvantage and gains advantage on attack rolls against the target,,,,,,,,,,,
113,113,Dao,Large,Elemental (Genie),Neutral,"Planar (Elemental Plane of Earth), Underdark","Planar, Underdark",Elemental Plane of Earth,Implements,18.0,200.0,1.0,30.0,30.0,,30.0,30.0,,6.0,1.0,1.0,1.0,7.0,4.0,6.0,1.0,5.0,5.0,7.0,4.0,,,,,Petrified,,,120.0,,,11.0,Primordial (Terran),11.00000/1,7200.0,4.0,"Earth Glide, Elemental Restoration, Magic Resistance, Wishes",,3.0,Melee,10.0,5.0,=,20.0,Bludgeoning,Ranged,10.0,120.0,120,15.0,Bludgeoning,,,,=,,,,,,=,,,16.0,Dexterity,"Atk 1 3 attacks if picked on hit large or smaller prone, Atk 2 2 attacks if picked also on within 10ft from target on fail 10 thunder damage",Charisma,16.0,,8.0,"Detect Evil and Good, Detect Magic, Stone Shape",,,"Gaseous FOrm, Invisibility, Move Earth, Passwall, Plane Shift, Tongues, Wall of Stone",,,,,,,,,,,,,
114,114,Darkmantle,Small,Aberration,Unaligned,Underdark,Underdark,,,11.0,22.0,3.0,10.0,,,30.0,,,3.0,-4.0,1.0,0.0,1.0,-3.0,3.0,-4.0,1.0,0.0,1.0,-3.0,Stealth,,,,,,60,,,,10.0,,45659,100.0,2.0,,,1.0,Melee,5.0,5.0,=,6.0,Bludgeoning,,,,=,,,,,,=,,,,,,=,,,,,"Akt 1 attaches if it had advantage the target is blinded and is suffocating, Creates magica darkness in a 15ft emanation",,,,,,,,,,,,,,,,,,,,,
115,115,Death Cultist,Medium or Small,Humanoid (Cultist),Neutral Evil,Any,Any,," Individual, Relics",17.0,127.0,4.0,30.0,,,,,,4.0,1.0,1.0,3.0,4.0,2.0,4.0,1.0,1.0,6.0,7.0,2.0,"Insight, Perception, Religion",,,,,,,,,,16.0,Common,8.00000/1,3900.0,3.0,,,3.0,Melee,7.0,10.0,=,20.0,"Slashing, Necrotic",Ranged,6.0,120.0,120,22.0,Necrotic,,,,=,,,,,,=,,,14.0,Wisdom,Atk 1 on hit target cannot regain HP,Wisdom,14.0,,6.0,"Speak with Dead, Thaumaturgy",,,,Spirit Wail recharges on 5-6 within 20ft on fail 14 Psychic damage and frightened,,,,,,,,,,,,
116,116,Death Dog,Medium,Monstrosity,Neutral Evil,Desert,Desert,,,12.0,39.0,2.0,40.0,,,,,,2.0,-4.0,2.0,1.0,2.0,-2.0,2.0,-4.0,2.0,1.0,2.0,-2.0,Stealth,Perception,,,"Blinded, Charmed, Deafened, Frightened, Stunned, Unconscious",,,120.0,,,15.0,,1.00000/1,200.0,2.0,,,2.0,Melee,4.0,5.0,=,4.0,Piercing,,,,=,,,,,,=,,,,,,=,,,12.0,"Constitution, Dexterity",Atk 1 on fail poisoned HP does not return to normal when finishing a long rest subsequent failed HP max decreases by 5,,,,,,,,,,,,,,,,,,,,,
117,117,Death Knight,Medium or Small,Undead,Chaotic Evil,Any,Any,,Armaments,20.0,199.0,12.0,30.0,,,,,,5.0,1.0,0.0,3.0,5.0,4.0,5.0,1.0,6.0,9.0,5.0,4.0,,,,,"Exhaustion, Frightened, Poisoned","Necrotic, Poison",,120.0,,,13.0,"Abyssal, Common",17.00000/1,18000.0,6.0,"Magic Resistance, Marshall Undead, Undead Restoration",3.0,3.0,Melee,11.0,5.0,=,25.0,"Slashing, Necrotic",,,,=,,,,,,=,,,,,,=,,,18.0,Dexterity,Hellfire recharges 5-6 20ft sphere on fail 70 Fire and Necrotic Damage,Charisma,18.0,"Constitution, Wisdom",10.0,"Command, Phantom Steed",,"Destructive Wave (Necrotic), Dispel Magic",,,Parry on hit +6 AC,3.0,18.0,Constitution,"Dread Authority cast command, Fell Word within 120ft 17 Necrotic damage  HP max decreases by the amount taken, Lunge moves up to half its speed and Akt",,,,,,,
118,118,Death Knight Aspirant,Medium or Small,Undead,Chaotic Evil,Any,Any,,Armaments,20.0,178.0,4.0,30.0,,,,,,5.0,0.0,0.0,1.0,4.0,3.0,5.0,0.0,4.0,5.0,4.0,3.0,,,,,"Exhaustion, Frightened, Poisoned","Necrotic, Poison",,120.0,,,11.0,"Abyssal, Common",11.00000/1,7200.0,4.0,"Magic Resistance, Marshal Undead",,3.0,Melee,9.0,5.0,=,24.0,"Slashing, Necrotic",,,,=,,,,,,=,,,,,,=,,,15.0,Dexterity,Hellfire recharges 5-6 20ft sphere on fail 42 Fire and Necrotic Damage,Charisma,15.0,Constitution,7.0,Phantom Steed,,,"Destructive Wave (Necrotic), Dispel Magic",,Parry on hit +4 AC,,,,,,,,,,,
119,119,Death Slaad,Medium,Aberration (Slaad),Chaotic Evil,Planar (Limbo),Planar,Limbo,Any,18.0,178.0,10.0,40.0,,,,,,5.0,2.0,2.0,0.0,4.0,4.0,5.0,2.0,2.0,0.0,4.0,4.0,Arcanna,Perception,,"Acid, Cold, Fire, Lightning, Thunder",,,60,60.0,,,18.0,"Common, Slaad, Telepathy",10.00000/1,5900.0,4.0,"Magic Resistance, Regeneration",,2.0,Melee,9.0,10.0,=,21.0,"Slashing, Necrotic",,,,=,,,,,,=,,,,,,=,,,,,After Akt 1 the target is either charmed frightened poisoned or incapacitated,Charisma,16.0,"Constitution, Wisdom",8.0,"Detect Magic, Detect Thoughts, Invincibility (self), Mage Hand, Major Image",,,"Blight (level 8), Cloudkill (level 6), fly, plane shift, tongues",Shape-Shift,,,,,,,,,,,,
120,120,Death Tyrant,Large,Undead (Beholder),Lawful Evil,Underdark,Underdark,,Any,19.0,195.0,12.0,5.0,,,40.0,40.0,,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,7.0,7.0,4.0,,Perception,,,"Charmed, Exhaustion, Paralyzed, Petrified, Poisoned, Prone",Poison,,120.0,,,22.0,"Deep Speech, Undercommon",14.00000/1,11500.0,5.0,,3.0,3.0,Melee,9.0,5.0,=,13.0,Piercing,,,,=,,,,,,=,,,,,,=,,,17.0,"Wisdom, Constitution, Strength, Dexterity","Eye Rays: Charm Ray on fail 13 psychic damage charmed, Paralyzing on fail paralyzed, Fear Ray on fail 10 Psychic Damage and frightened, Slowing Ray on fail 18 Necrotic Damage and can't take reactions speed is 1/2 and either take an action or bonus action, Enervation Ray on fail 16 poison damage and poisoned, Telekinetic Ray on fail moved 30 ft and restrained and incapacitated, Sleep Ray on fail unconscious, Petrification Ray on fail restrained and second fail petrified, Disintegration Ray on fail 36 force damage a and if reduced to 0 turns into dust, Death Ray on fail 55 Necrotic Damage and if reduced to 0 target is dead",,,,,,,,,Negative Energy coone 150ft coone can't regain hp and creates zombies,,3.0,,,"Chomp make 2 bite attacks, Glare use an eye ray",Yes,13000.0,4.0,4.0,15.0,Wisdom,On fail no benefit to a short rest
121,121,Deer,Medium,Beast,Unaligned,"Forest, Grassland","Forest, Grassland",,,13.0,4.0,3.0,50.0,,,,,,0.0,-4.0,3.0,2.0,0.0,-3.0,0.0,-4.0,3.0,2.0,0.0,-3.0,Perception,,,,,,,60.0,,,14.0,,0.00000/1,10.0,2.0,Agile,,1.0,Melee,2.0,5.0,=,2.0,Bludgeoning,,,,=,,,,,,=,,,,,,=,,,,,,,,,,,,,,,,,,,,,,,,,,
122,122,Demilich,Tiny,Undead,Netural,Any,Any,,Arcana,20.0,180.0,17.0,5.0,,,30.0,30.0,,-5.0,5.0,5.0,3.0,0.0,5.0,-5.0,11.0,11.0,9.0,6.0,5.0,,,,"Bludgeoning, Piercing, Slashing","Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned, Prone, Stunned","Poison, Psychic",,,120.0,,13.0,,18.00000/1,20000.0,6.0,Undead Restoration,3.0,3.0,Melee,11.0,5.0,=,24.0,Necrotic,Ranged,11.0,120.0,120,24.0,Necrotic,,,,=,,,,,,=,,,19.0,Constitution,Howl recharges on 5-6 Within 30ft on fail 70 Psychic damage and frightened,,,,,,,,,,,3.0,19.0,Constitution,"Energy Drain within 120ft on fail max hp drops by 14, Grave-Dust Flight move up to its fly speed anyone within 5ft on fail is blinded, Necrosis makes another attack",Yes,22000.0,4.0,4.0,20.0,Constitution,On fail max HP reduced by 2
123,123,Deva,Medium,Celestial (Angel),Lawful Good,Planar (Upper Planes),Planar,Upper Planes,Relics,17.0,229.0,4.0,30.0,,,90.0,90.0,,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,9.0,4.0,9.0,"Insight, Perception",,,Radiant,"Charmed, Exhaustion, Frightened",,,120.0,,,19.0,"All, Telepathy",10.00000/1,5900.0,4.0,"Exalted Restoration, Magic Resistance",,2.0,Melee,8.0,5.0,=,25.0,"Bludgeoning, Radiant",,,,=,,,,,,=,,,,,,=,,,,,,Charisma,17.0,,9.0,"Detect Evil and Good, Shapechange",,"Cure Wounds, Lesser Restoration, Remove Curse","Commune, Raise Dead","Cast Cure Wounds, Lesser Restoration, or Remove Curse",,,,,,,,,,,,
124,124,Dire Wolf,Large,Beast,Unaligned,"Forest, Hill","Forest, Hill",,,14.0,22.0,2.0,50.0,,,,,,3.0,-4.0,2.0,1.0,2.0,-2.0,3.0,-4.0,2.0,1.0,2.0,-2.0,Stealth,,,,,,,60.0,,,15.0,,1.00000/1,200.0,2.0,Pack Tactics,,1.0,Melee,5.0,5.0,=,8.0,Piercing,,,,=,,,,,,=,,,,,,=,,,,,Gives prone condition,,,,,,,,,,,,,,,,,,,,,
125,125,Dire Worg,Huge,Fey,Neutral Evil,"Forest, Grassland, Hill, Planar (Feywild)","Forest, Grassland, Hill, Planar",Feywild,,16.0,147.0,2.0,50.0,,,,,,6.0,-2.0,2.0,3.0,4.0,-1.0,6.0,-2.0,6.0,7.0,4.0,-1.0,,Perception,,,,,,120.0,,,21.0,"Goblin, Sylvan, Worg",10.00000/1,5900.0,4.0,Magic Resistance,,3.0,Melee,10.0,5.0,=,22.0,"Piercing, Poison",,,,=,,,,,,=,,,,,,=,,,16.0,Wisdom,"Akt 1 poisoned on hit, Dreadful Howl recharges on 5-6 30ft on fail 36 psychic damage and frightened",,,,,,,,,Teleports with a creature 30ft,,,,,,,,,,,,
126,126,Displacer Beast,Large,Monstrosity,Lawful Evil,Forest,Forest,,,13.0,76.0,4.0,40.0,,,,,,4.0,-2.0,2.0,1.0,3.0,-1.0,4.0,-2.0,2.0,1.0,3.0,-1.0,,,,,,,,60.0,,,11.0,Understands Sylvan,3.00000/1,700.0,2.0,"Avoidance, Displacement",,2.0,Melee,6.0,5.0,=,9.0,Slashing,Melee,6.0,10.0,=,11.0,Piercing,,,,=,,,,,,=,,,,,Atk 1 on hit prone,,,,,,,,,,,,,,,,,,,,,
127,127,Djinni,Large,Elemental (Genie),Neutral,"Coastal, Planar (Elemental Plane of Air)","Coastal, Planar",Elemental Plane of Air,Arcana,18.0,218.0,2.0,30.0,,,90.0,90.0,,5.0,2.0,2.0,3.0,6.0,5.0,5.0,2.0,6.0,7.0,6.0,5.0,,,,,,"Lightning, Thunder",,120.0,,,13.0,Primordial (Auran),11.00000/1,7200.0,4.0,"Elemental Restoration, Magic Resistance, Wishes",,3.0,Melee,9.0,5.0,=,19.0,"Slashing, Lightning",Ranged,9.0,120.0,120,13.0,,,,,=,,,,,,=,,,17.0,Strength,"Atk 2 on hit if target is large or smaller prone, Create Whirlwind 20ft radius 60ft high cylinder when target enters on fail restrained and 21 thunder damage",Charisma,17.0,,9.0,"Detect Evil and Good, Detect Magic",,"Create Food and Water, Tongues, Wind Walk","Creation, Gaseous Form, Invisibility, Major Image, Plane Shift",,,,,,,,,,,,,
128,128,Doppelganger,Medium,Monstrosity,Neutral,"Underdark, Urban","Underdark, Urban",,Individual,14.0,52.0,4.0,30.0,,,,,,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,4.0,1.0,2.0,2.0,Insight,Deception,,,Charmed,,,60.0,,,11.0,Common plus three other languages,3.00000/1,700.0,2.0,,,3.0,Melee,6.0,5.0,=,11.0,Bludgeoning,,,,=,,,,,,=,,,,,,=,,,12.0,Wisdom,"Read Thoughts cast detect thoughts, Unsettling Visage within 15ft on fail frightened",,,,,,,,,Shape-shift,,,,,,,,,,,,
129,129,Dracolich,Huge or Gargantuan,Undead,Lawful Evil,Any,Any,,Any,20.0,225.0,12.0,40.0,30.0,,80.0,,,7.0,4.0,0.0,2.0,6.0,5.0,7.0,4.0,6.0,8.0,6.0,5.0,Stealth,Perception,,,"Charmed, Exhaustion, Frightened, Paralyzed, Poisoned","Necrotic, Poison",60,120.0,,,24.0,"Common, Draconic",17.00000/1,18000.0,6.0,"Life Suppression, Magic Resistance, Soul Gem",,3.0,Melee,13.0,10.0,=,22.0,"Slashing, Necrotic",Ranged,11.0,60.0,60,14.0,Poison,,,,=,,,,,,=,,,20.0,Constitution,"Akt 2 is a casting of Ray of Sickness (level 2), Necrotic Breath recharges 5-6 60ft coone on fail 52 necrotic damage",Charisma,19.0,Constitution,11.0,"Detect Magic, Ray of Sickness (level 2)",,,"Create Undead (Level 8), Finger of Death",,,3.0,19.0,Wisdom,"Pounce,Cast  Sickening Ray (level 2), Terrifying Presence within 30ft on fail 11 psychic damage and frightened",Yes,20000.0,4.0,4.0,15.0,Constitution,On fail Exhaustion
130,130,Draft Horse,Large,Beast,Unaligned,Urban,Urban,,,10.0,15.0,0.0,40.0,,,,,,4.0,-4.0,0.0,0.0,2.0,-2.0,4.0,-4.0,0.0,0.0,2.0,-2.0,,,,,,,,,,,10.0,,45661,50.0,2.0,,,1.0,Melee,6.0,5.0,=,6.0,Bludgeoning,,,,=,,,,,,=,,,,,,=,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131,Dragon Turtle,Gargantuan,Dragon,Neutral,"Coastal, Underwater","Coastal, Underwater",,Any,20.0,356.0,6.0,20.0,,,,,50.0,7.0,0.0,0.0,1.0,5.0,1.0,7.0,0.0,0.0,7.0,11.0,1.0,,,,Fire,,,,120.0,,,11.0,"Draconic, Primordial (Aquan)",17.00000/1,18000.0,6.0,Amphibious,,3.0,Melee,13.0,15.0,=,30.0,"Piercing, Fire",Melee,13.0,15.0,=,18.0,Bludgeoning,,,,=,,,,,,=,,,19.0,Constitution,"Akt 1 the water does not grant resistance to the fire, Akt 2 gives prone condition, Steam Breath recharges 5-6 60ft coone 56 fire damage",,,,,,,,,,,,,,,,,,,,,
132,132,Dretch,Small,Fiend (Demon),Chaotic Evil,Planar (Abyss),Planar,Abyss,,11.0,18.0,0.0,20.0,,,,,,1.0,-3.0,0.0,-1.0,1.0,-4.0,1.0,-3.0,0.0,-1.0,1.0,-4.0,,,,"Cold, Fire, Lightning",Poisoned,Poison,,60.0,,,9.0,"Abyssal, Telepathy",45661,50.0,2.0,,,1.0,Melee,3.0,5.0,=,4.0,Slashing,,,,=,,,,,,=,,,,,,=,,,11.0,Constitution,Fetid Cloud 1/day within 10 ft on fail the target is poisoned and only take an action or a bonus action also no reactions,,,,,,,,,,,,,,,,,,,,,
133,133,Drider,Large,Monstrosity,Chaotic Evil,"Forest, Underdark","Forest, Underdark",,Armaments,19.0,123.0,4.0,30.0,,30.0,,,,3.0,1.0,4.0,3.0,4.0,1.0,3.0,1.0,4.0,3.0,4.0,1.0,Perception,Stealth,,,,,,120.0,,,16.0,"Elvish, Undercommon",6.00000/1,2300.0,3.0,"Spider Climb, Sunlight Sensitivity, Web Walker",,3.0,Melee,7.0,10.0,=,13.0,Piercing,Ranged,6.0,120.0,120,13.0,Poison,,,,=,,,,,,=,,,14.0,Dexterity,,,,,,,,,,"Magic of Spider Queen recharges 5-6 cast Darkness, Faerie Fire, or Web",,,,,,,,,,,,
134,134,Druid,Medium or Small,Humanoid,Neutral,Any,Any,,"Individual, Relics",13.0,44.0,1.0,30.0,,,,,,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,"Medicine, Nature, Perception",,,,,,,,,,15.0,"Common, Druidic, Sylvan",2.00000/1,450.0,2.0,,,2.0,Melee,5.0,5.0,=,9.0,"Bludgeoning, Poison",Ranged,5.0,90.0,90,10.0,Radiant,,,,=,,,,,,=,,,,,,Wisdom,13.0,"Constitution, Strength",5.0,"Druidcraft, Speak with Animals",,"Entangle, Thunderwave","Animal Messenger, Longstrider, Moonbeam",,,,,,,,,,,,,
135,135,Dryad,Medium,Fey,Neutral,Forest,Forest,,Any,16.0,22.0,1.0,30.0,,,,,,0.0,2.0,1.0,2.0,0.0,4.0,0.0,2.0,1.0,2.0,0.0,4.0,Perception,Stealth,,,,,,60.0,,,14.0,"Elvish, Sylvan",1.00000/1,200.0,2.0,"Magic Resistance, Speak with Beasts and Plants",,2.0,Melee,6.0,10.0,=,8.0,Slashing,Ranged,6.0,60.0,60,7.0,Piercing,,,,=,,,,,,=,,,,,Can cast Charm Monster as part of its Akt action,Charisma,14.0,Strength,6.0,"Animal Friendship, Charm Monster (lasts 24 hours), Druidcraft",,,"Entangle, Pass without Trace",Teleport using trees within 60ft,,,,,,,,,,,,
136,136,Dust Mephit,Small,Elemental,Neutral Evil,"Desert, Planar (Elemental Planes)","Desert, Planar",Elemental Planes,,12.0,17.0,2.0,30.0,,,30.0,,,-3.0,-1.0,2.0,0.0,0.0,0.0,-3.0,-1.0,2.0,0.0,0.0,0.0,"Perception, Stealth",,Fire,,"Exhaustion, Poisoned",Poison,,60.0,,,12.0,Primordial (Auran and Terran),45659,100.0,2.0,Death Burst,,1.0,Melee,4.0,5.0,=,4.0,Slashing,,,,=,,,,,,=,,,,,,=,,,10.0,"Dexterity, Wisdom","Blinding Breath recharges on 6 15ft cone on fail blinded, Sleep 1/day cast sleep",,,,,,,,,,,,,,,,,,,,,
137,137,Eagle,Small,Beast,Unaligned,"Coastal, Grassland, Hill, Mountain","Coastal, Grassland, Hill, Mountain",,,12.0,4.0,2.0,10.0,,,60.0,,,-2.0,-4.0,2.0,2.0,1.0,-2.0,-2.0,-4.0,2.0,2.0,1.0,-2.0,,Perception,,,,,,,,,16.0,,0.00000/1,10.0,2.0,,,1.0,Melee,4.0,5.0,=,4.0,Slashing,,,,=,,,,,,=,,,,,,=,,,,,,,,,,,,,,,,,,,,,,,,,,
138,138,Earth Elemental,Large,Elemental,Neutral,"Mountain, Planar (Elemental Plane of Earth), Underdark","Mountain, Planar, Underdark",Elemental Plane of Earth,,17.0,147.0,-1.0,30.0,30.0,,,,,5.0,-3.0,-1.0,0.0,5.0,-3.0,5.0,-3.0,-1.0,0.0,5.0,-3.0,,,Thunder,,"Exhaustion, Paralyzed, Petrified, Poisoned, Unconscious",Poison,,60.0,,60.0,10.0,Primordial (Terran),5.00000/1,1800.0,3.0,"Earth Glide, Siege Monster",,2.0,Melee,8.0,10.0,=,14.0,Bludgeoning,Ranged,8.0,60.0,60,8.0,Bludgeoning,,,,=,,,,,,=,,,,,Atk 2 on hit prone,,,,,,,,,,,,,,,,,,,,,
139,139,Efreeti,Large,Elemental (Genie),Neutral,"Desert, Planar (Elemental Plane of FIre)","Desert, Planar",Elemental Plane of FIre,Armaments,17.0,212.0,1.0,40.0,,,60.0,60.0,,6.0,3.0,1.0,2.0,7.0,4.0,6.0,3.0,1.0,6.0,7.0,8.0,,,,,,Fire,,120.0,,,12.0,Primordial (Ignan),11.00000/1,7200.0,4.0,"Elemental Restoration, Magic Resistance, Wishes",,3.0,Melee,10.0,5.0,=,26.0,"Slashing, Fire",Ranged,8.0,120.0,120,24.0,Fire,,,,=,,,,,,=,,,,,,Charisma,16.0,Dexterity,8.0,"Detect Magic, Elementalism",,,"Gaseous Form, Invincibility, Major Image, Plane Shift, Tongues, Wall of Fire (level 7)",,,,,,,,,,,,,
